BTC: 1476203398 0.965343747408 4305.67 25.77 0.0062  |  4.267 1 
BTC: 1476203399 0.966853374382 4305.62 25.81 0.0062  |  4.267 0.675 
BTC: 1476203400 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203401 0.966855619948 4305.61 25.81 0.0062  |  4.267 0.675 
BTC: 1476203402 0.966855619948 4305.61 25.81 0.0062  |  4.267 0.675 
BTC: 1476203403 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203404 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203405 0.966860111113 4305.59 25.81 0.0062  |  4.267 0.675 
BTC: 1476203406 0.966860111113 4305.59 25.81 0.0062  |  4.267 0.675 
BTC: 1476203407 0.966864602319 4305.57 25.81 0.0062  |  4.267 0.675 
BTC: 1476203409 0.966860111113 4305.59 25.81 0.0062  |  4.267 0.675 
BTC: 1476203409 0.966860111113 4305.59 25.81 0.0062  |  4.267 0.675 
BTC: 1476203411 0.966862356711 4305.58 25.81 0.0062  |  4.267 0.675 
BTC: 1476203412 0.966862356711 4305.58 25.81 0.0062  |  4.267 0.675 
BTC: 1476203413 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203414 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203415 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203416 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203417 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203418 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
BTC: 1476203419 0.966857865525 4305.6 25.81 0.0062  |  4.267 0.675 
